timestamp,timestamp,open,high,low,close,volume,turnover
2023-12-31 23:00:00,1704063600000,42300.7,42399.4,42103.1,42324.8,3934.293,166234042.6863
2024-01-01 00:00:00,1704067200000,42324.8,42610.9,42300.2,42517.4,3038.207,129022621.2567
2024-01-01 01:00:00,1704070800000,42517.4,42842.9,42475.1,42661.3,3308.231,141296220.3691
2024-01-01 02:00:00,1704074400000,42661.3,42691.9,42550.8,42631.8,1651.447,70384296.4473
2024-01-01 03:00:00,1704078000000,42631.8,42641.4,42271.5,42384.1,3499.277,148488084.347
2024-01-01 04:00:00,1704081600000,42384.1,42448.0,42250.5,42446.3,1800.157,76253111.4863
2024-01-01 05:00:00,1704085200000,42446.3,42450.0,42211.2,42280.9,1749.233,74039208.443
2024-01-01 06:00:00,1704088800000,42280.9,42467.8,42248.5,42431.7,1117.49,47356241.4482
2024-01-01 07:00:00,1704092400000,42431.7,42533.0,42431.6,42531.7,1373.99,58396205.205
2024-01-01 08:00:00,1704096000000,42531.7,42599.6,42492.7,42596.1,1274.532,54228928.2511
2024-01-01 09:00:00,1704099600000,42596.1,42739.8,42574.1,42696.9,2249.746,95997895.499
2024-01-01 10:00:00,1704103200000,42696.9,42796.1,42656.9,42731.4,2127.375,90888986.4814
2024-01-01 11:00:00,1704106800000,42731.4,42809.6,42645.6,42735.1,1903.864,81346593.1397
2024-01-01 12:00:00,1704110400000,42735.1,42820.0,42657.1,42690.6,2067.997,88409418.4198
2024-01-01 13:00:00,1704114000000,42690.6,42787.5,42651.1,42760.3,1117.358,47739190.7195
2024-01-01 14:00:00,1704117600000,42760.3,42760.3,42605.4,42651.0,1814.759,77427380.815
2024-01-01 15:00:00,1704121200000,42651.0,42890.0,42617.6,42825.1,2622.198,112181028.926
2024-01-01 16:00:00,1704124800000,42825.1,42909.1,42707.1,42774.3,1950.463,83510478.5986
2024-01-01 17:00:00,1704128400000,42774.3,42868.0,42750.0,42852.4,1114.03,47686461.3384
2024-01-01 18:00:00,1704132000000,42852.4,43279.0,42852.3,43153.8,7712.586,332495893.6479
2024-01-01 19:00:00,1704135600000,43153.8,43604.0,43140.7,43570.1,6668.097,289415040.1985
2024-01-01 20:00:00,1704139200000,43570.1,43909.5,43566.6,43753.4,9272.61,405617567.9288
2024-01-01 21:00:00,1704142800000,43753.4,43855.1,43528.5,43677.7,3978.033,173775943.2765
2024-01-01 22:00:00,1704146400000,43677.7,43726.4,43421.8,43579.6,3014.063,131252975.8913
2024-01-01 23:00:00,1704150000000,43579.6,44284.9,43579.5,44235.5,12697.696,558822825.0947
2024-01-02 00:00:00,1704153600000,44235.5,45376.1,44208.7,45187.9,24268.271,1085964133.8931
2024-01-02 01:00:00,1704157200000,45187.9,45493.6,44744.5,44929.4,11581.241,522276568.2614
2024-01-02 02:00:00,1704160800000,44929.4,45440.0,44929.4,45430.1,6549.609,295999015.8956
2024-01-02 03:00:00,1704164400000,45430.1,45578.9,45131.1,45434.1,9517.238,431743504.2989
2024-01-02 04:00:00,1704168000000,45434.1,45485.2,45201.6,45219.9,4935.6,223743944.2153
2024-01-02 05:00:00,1704171600000,45219.9,45368.5,45160.0,45220.0,2833.337,128260983.2316
2024-01-02 06:00:00,1704175200000,45220.0,45350.0,45170.0,45203.1,2035.927,92160701.6875
2024-01-02 07:00:00,1704178800000,45203.1,45792.8,45203.1,45500.0,9055.449,412152428.413
2024-01-02 08:00:00,1704182400000,45500.0,45927.0,45372.7,45817.9,11023.565,504240452.5105
2024-01-02 09:00:00,1704186000000,45817.9,45946.5,45683.8,45731.6,5245.819,240268395.9936
2024-01-02 10:00:00,1704189600000,45731.6,45774.2,45500.0,45658.7,5303.585,241982684.0823
2024-01-02 11:00:00,1704193200000,45658.7,45772.0,45242.3,45495.9,6793.223,308843179.2473
2024-01-02 12:00:00,1704196800000,45495.9,45669.9,45326.7,45365.3,5606.18,255030120.1261
2024-01-02 13:00:00,1704200400000,45365.3,45770.0,45333.2,45699.6,5280.287,240740876.1131
2024-01-02 14:00:00,1704204000000,45699.6,45864.3,45039.1,45301.3,13280.197,603431144.961
2024-01-02 15:00:00,1704207600000,45301.3,45369.9,44868.2,45230.3,11672.408,526886670.5141
2024-01-02 16:00:00,1704211200000,45230.3,45455.0,44935.8,45408.8,7851.995,354949812.1793
2024-01-02 17:00:00,1704214800000,45408.8,45428.5,44981.0,45014.4,4812.876,217379007.8819
2024-01-02 18:00:00,1704218400000,45014.4,45320.5,44990.6,45202.6,4516.388,203923577.4357
2024-01-02 19:00:00,1704222000000,45202.6,45297.2,44795.7,45088.6,6189.442,278457023.41
2024-01-02 20:00:00,1704225600000,45088.6,45227.4,44763.1,44823.8,5715.518,257095056.5854
2024-01-02 21:00:00,1704229200000,44823.8,45177.7,44633.0,45177.6,8366.57,375659657.1888
2024-01-02 22:00:00,1704232800000,45177.6,45369.9,44879.0,45024.9,5272.773,238111863.7012
2024-01-02 23:00:00,1704236400000,45024.9,45099.3,44831.8,44989.0,2822.585,126921421.9685
2024-01-03 00:00:00,1704240000000,44989.0,45255.0,44909.8,45183.1,3602.603,162431514.5766
2024-01-03 01:00:00,1704243600000,45183.1,45390.7,45137.2,45367.7,2759.04,124880492.1003
2024-01-03 02:00:00,1704247200000,45367.7,45476.0,45258.7,45323.0,2404.027,109053003.7808
2024-01-03 03:00:00,1704250800000,45323.0,45359.7,45201.3,45309.2,1436.861,65057417.0344
2024-01-03 04:00:00,1704254400000,45309.2,45320.1,45154.3,45226.4,1280.242,57899091.6214
2024-01-03 05:00:00,1704258000000,45226.4,45336.4,45158.7,45206.1,1593.278,72126577.8891
2024-01-03 06:00:00,1704261600000,45206.1,45414.0,45195.0,45366.0,2357.874,106827347.9319
2024-01-03 07:00:00,1704265200000,45366.0,45426.3,44971.0,45044.0,4504.15,203416544.5511
2024-01-03 08:00:00,1704268800000,45044.0,45236.1,45036.6,45231.7,3291.135,148547654.4347
